Player,Player-additional,Ht.,Wt.
Dariel Álvarez,alvarda02,6-2,180.0
Francisco Alvarez,alvarfr01,5-10,233.0
Gabe Álvarez,alvarga01,6-1,185.0
Henderson Alvarez III,alvarhe01,6-0,205.0
José Álvarez,alvarjo02,5-11,195.0
José Alvarado,alvarjo03,6-2,245.0
Luis Alvarado,alvarlu01,5-9,162.0
Orlando Álvarez,alvaror01,6-0,165.0
Ossie Álvarez,alvaros01,5-10,165.0
Pedro Álvarez,alvarpe01,6-3,250.0
Raúl Álvarez,alvarra01,,
Rogelio Álvarez,alvarro01,5-11,183.0
Tavo Álvarez,alvarta01,6-3,245.0
Tony Álvarez,alvarto01,6-1,200.0
Víctor Álvarez,alvarvi01,5-10,150.0
Wilson Álvarez,alvarwi01,6-1,175.0
Yordan Alvarez,alvaryo01,6-5,237.0
Adbert Alzolay,alzolad01,6-1,208.0
Alexi Amarista,amarial01,5-6,160.0
Rubén Amaro,amaroru01,5-11,170.0
Miguel Amaya,amayami01,6-0,230.0
Alfredo Amézaga,amezaal01,5-11,165.0
Sandy Amorós,amorosa01,5-7,170.0
Vicente Amor,amorvi01,6-3,182.0
John Anderson,anderjo01,6-2,180.0
Elvis Andrus,andruel01,6-0,210.0
Wyman Andrus,andruwi01,5-6,155.0
Joaquín Andújar,andujjo01,6-0,170.0
Luis Andújar,andujlu01,6-2,175.0
Miguel Andujar,andujmi01,6-0,211.0
Nori Aoki,aokino01,5-9,180.0
Luis Aparicio,aparilu01,5-9,160.0
Luis Aponte,apontlu01,6-0,185.0
Sherten Apostel,apostsh01,6-4,235.0
Aristides Aquino,aquinar01,6-4,220.0
Greg Aquino,aquingr01,6-1,190.0
Jayson Aquino,aquinja01,6-1,225.0
Luis Aquino,aquinlu01,6-0,155.0
Ángel Aragón,aragoan01,5-5,150.0
Jack Aragón,aragoja01,5-10,176.0
Jonathan Aranda,arandjo01,6-0,210.0
Pedro Arango,arangpe01,5-8,
Víctor Arano,aranovi01,6-2,242.0
Elvis Araújo,araujel01,6-7,275.0
Pedro Araújo,araujpe01,6-3,215.0
Jonathan Araúz,arauzjo01,6-0,195.0
Jimmy Archer,archeji01,5-10,168.0
Francisco Arcia,arciafr01,5-11,200.0
José Arcia,arciajo01,6-3,170.0
Orlando Arcia,arciaor01,6-0,187.0
Oswaldo Arcia,arciaos01,6-0,230.0
Rugger Ardizoia,ardizru01,5-11,180.0
Mario Arencibia,arencma01,5-11,194.0
Alberto Árias,ariasal02,5-11,155.0
Gabriel Arias,ariasga01,6-1,217.0
Joaquín Árias,ariasjo01,6-1,185.0
Rudy Árias,ariasru01,5-10,165.0
Kohei Arihara,arihako01,6-2,210.0
Mario Ariosa,ariosma01,5-8,176.0
Felipe Armas,armasfe01,,
Marcos Armas,armasma01,6-5,190.0
Tony Armas,armasto01,5-11,182.0
Tony Armas,armasto02,6-4,205.0
Ed Armbrister,armbred01,5-11,160.0
Rogelio Armenteros,armenro01,6-1,244.0
René Arocha,arochre01,6-0,180.0
Jonathan Aro,arojo01,6-0,235.0
Randy Arozarena,arozara01,5-11,185.0
Luis Arráez,arraelu01,5-10,175.0
José Arredondo,arredjo01,6-0,190.0
Rolando Arrojo,arrojro01,6-4,215.0
Luis Arroyo,arroylu01,5-8,178.0
Erisbel Arruebarrena,arrueba01,6-1,230.0
Humberto Arteaga,arteahu01,6-1,160.0
Joaquín Arumís,arumijo01,,
Carlos Ascanio,ascanca01,,
José Ascanio,ascanjo01,5-11,195.0
Miguel Asencio,asencmi01,6-2,190.0
Earl Ashby,ashbyea01,6-0,170.0
Javier Assad,assadja01,6-1,200.0
Ezequiel Astacio,astacez01,6-3,200.0
Pedro Astacio,astacpe01,6-2,174.0
Willians Astudillo,astudwi01,5-9,225.0
Carlos Asuaje,asuajca01,5-8,160.0
Luis Atilano,atilalu01,6-2,220.0
Bill Atkinson,atkinbi01,5-7,165.0
Derek Aucoin,aucoide01,6-7,235.0
Phillippe Aumont,aumonph01,6-7,265.0
Frankie Austin,austifr01,5-7,170.0
Jimmy Austin,austiji01,5-7,155.0
Abiatal Avelino,aveliab01,6-0,210.0
Bobby Ávila,avilabo01,5-10,175.0
Luis Avilán,avilalu01,6-2,235.0
Pedro Avila,avilape01,5-11,210.0
Ramón Avilés,avilera01,5-9,155.0
John Axford,axforjo01,6-5,234.0
Benny Ayala,ayalabe01,6-1,185.0
Luis Ayala,ayalalu01,6-2,205.0
Erick Aybar,aybarer01,5-10,195.0
Manny Aybar,aybarma01,6-1,165.0
Willy Aybar,aybarwi01,5-11,205.0
Joe Azcue,azcuejo01,6-0,190.0
José Azocar,azocajo01,5-11,181.0
Óscar Azócar,azocaos01,6-1,170.0
Ji Hwan Bae,baeji01,5-11,185.0
Cha-Seung Baek,baekch01,6-4,190.0
Carlos Baerga,baergca01,5-11,165.0
Benito Báez,baezbe01,6-0,160.0
Danys Báez,baezda01,6-3,225.0
Javier Báez,baezja01,6-0,190.0
José Báez,baezjo01,5-8,160.0
Julio Báez,baezju01,5-3,170.0
Michel Báez,baezmi01,6-8,220.0
Pedro Báez,baezpe01,6-0,232.0
Sandy Báez,baezsa01,6-2,219.0
Ed Bahr,bahred01,6-1,172.0
Jeff Baker,bakerje03,6-2,220.0
John Balaz,balazjo01,6-3,180.0
Jordan Balazovic,balazjo02,6-5,215.0
Alberto Baldonado,baldoal01,6-5,270.0
Wladimir Balentien,balenwl01,6-2,220.0
Grant Balfour,balfogr01,6-2,200.0
Manny Bañuelos,banuema01,5-10,215.0
Lorenzo Barceló,barcelo01,6-4,230.0
Josh Barfield,barfijo02,6-0,190.0
Vic Barnett,barnevi02,6-2,190.0
Bernardo Baró,barobe01,5-6,
Salomé Barojas,barojsa01,5-9,160.0
Germán Barranca,barrage01,6-0,160.0
Franklin Barreto,barrefr02,5-8,208.0
Luis Barrera,barrelu01,6-0,195.0
Francisco Barrios,barrifr01,5-11,155.0
Jaime Barria,barrija01,6-1,210.0
Manuel Barrios,barrima01,6-0,170.0
Yhonathan Barrios,barriyh01,5-10,205.0
Jorge Barrosa,barrojo01,5-5,165.0
Vince Barton,bartovi01,6-0,180.0
Luis Alexander Basabe,basablu01,6-0,180.0
Osleivis Basabe,basabos01,5-11,188.0
Antonio Bastardo,bastaan01,5-11,202.0
Miguel Batista,batismi01,6-1,210.0
Rafael Batista,batisra01,6-1,195.0
Tony Batista,batisto01,6-0,180.0
Ed Bauta,bautaed01,6-3,200.0
Danny Bautista,bautida01,5-11,170.0
Denny Bautista,bautide01,6-5,190.0
Félix Bautista,bautife01,6-8,285.0
Gerson Bautista,bautige01,6-3,195.0
José Bautista,bautijo01,6-1,177.0
José Bautista,bautijo02,6-0,205.0
Rafael Bautista,bautira01,6-2,194.0
Marcelino Bauza,bauzama01,5-4,
Jason Bay,bayja01,6-2,210.0
Eduard Bazardo,bazared01,6-0,190.0
Yorman Bazardo,bazaryo01,6-2,230.0
Pedro Beato,beatope01,6-6,230.0
Heinz Becker,beckehe02,6-2,200.0
Julio Becquer,becquju01,5-11,178.0
Érik Bédard,bedarer01,6-1,195.0
Agustín Bejerano,bejerag01,5-9,130.0
Ronald Belisario,belisro01,6-3,240.0
Steve Bellán,bellast01,5-8,154.0
George Bell,bellge02,6-1,190.0
Rafael Belliard,bellira01,5-6,160.0
Juan Bell,bellju01,5-11,172.0
Brayan Bello,bellobr01,6-1,195.0
Edwin Bellorin,belloed01,5-10,240.0
Rob Belloir,belloro01,5-10,155.0
Adrián Beltré,beltrad01,5-11,220.0
Carlos Beltrán,beltrca01,6-1,215.0
Engel Beltré,beltren01,6-2,180.0
Esteban Beltré,beltres01,5-10,155.0
Francis Beltrán,beltrfr01,6-6,255.0
Omar Beltré,beltrom01,6-3,230.0
Rigo Beltrán,beltrri01,5-11,185.0
Marvin Benard,benarma01,5-10,180.0
Juan Beníquez,beniqju01,5-11,150.0
Armando Benítez,benitar01,6-4,180.0
Yamil Benítez,benitya01,6-2,195.0
Shayne Bennett,bennesh01,6-5,200.0
Joaquin Benoit,benoijo01,6-4,250.0
Juan Berenguer,berenju01,5-11,186.0
James Beresford,beresja01,6-1,170.0
William Bergolla,bergowi01,5-10,195.0
Plácido Bernal,bernapl01,5-10,
Roger Bernadina,bernaro01,6-2,210.0
Tony Bernazard,bernato01,5-9,150.0
Juan Bernhardt,bernhju01,5-11,160.0
Carlos Bernier,bernica01,5-9,180.0
José Berríos,berrijo01,6-0,205.0
Ángel Berroa,berroan01,6-0,195.0
Gerónimo Berroa,berroge01,6-0,165.0
Prelander Berroa,berropr01,5-11,215.0
Reno Bertoia,bertore01,5-11,185.0
Andrés Berumen,beruman01,6-2,210.0
Rafael Betancourt,betanra01,6-2,215.0
Yuniesky Betancourt,betanyu01,5-10,205.0
Wilson Betemit,betemwi01,6-2,220.0
Christian Bethancourt,bethach01,6-3,205.0
Hank Biasatti,biasaha01,5-11,175.0
Osvaldo Bido,bidoos01,6-3,175.0
Randor Bierd,bierdra01,6-4,190.0
Hiram Bithorn,bithohi01,6-1,200.0
Travis Blackley,blacktr01,6-3,190.0
Tyler Black,blackty01,5-10,204.0
Andrés Blanco,blancan01,5-10,192.0
Carlos Blanco,blancca01,5-8,170.0
Dámaso Blanco,blancda01,5-10,165.0
Dairon Blanco,blancda02,5-11,200.0
Grégor Blanco,blancgr01,5-10,187.0
Henry Blanco,blanche01,5-11,220.0
Heberto Blanco,blanche02,5-7,168.0
Ossie Blanco,blancos01,6-0,185.0
Ronel Blanco,blancro01,6-3,265.0
Tony Blanco,blancto01,6-2,200.0
Jabari Blash,blashja01,6-5,235.0
Mike Blowers,blowemi01,6-2,190.0
Bert Blyleven,blylebe01,6-3,200.0
Lucas Boada,boadalu01,5-10,
Hiram Bocachica,bocachi01,5-11,195.0
Bruce Bochy,bochybr01,6-3,205.0
Xander Bogaerts,bogaexa01,6-2,218.0
Ronald Bolaños,bolanro01,6-2,230.0
Charlie Bold,boldch01,6-2,185.0
Tommy Bond,bondto01,5-7,160.0
Ricky Bones,bonesri01,5-10,200.0
Julio Bonetti,bonetju01,6-0,180.0
Jung Bong,bongju01,6-3,175.0
Emilio Bonifácio,bonifem01,5-10,200.0
Jorge Bonifacio,bonifjo01,6-0,220.0
Juan Bonilla,bonilju01,5-9,170.0
Lisalverto Bonilla,bonilli01,6-0,225.0
Pedro Borbón,borbope01,6-2,185.0
Pedro Borbón,borbope02,6-1,205.0
J.C. Boscán,boscajc01,6-2,215.0
Wilfredo Boscán,boscawi01,6-2,228.0
Denis Boucher,bouchde01,6-1,195.0
Rafael Bournigal,bournra01,5-11,160.0
Jim Bowie,bowieji01,6-0,205.0
Ted Bowsfield,bowsfte01,6-1,190.0
Silvino Bracho,brachsi01,5-10,190.0
Ramón Bragaña,bragara01,5-11,180.0
Dave Brain,brainda01,5-10,170.0
Matt Brash,brashma01,6-1,173.0
Archie Brathwaite,brathar01,5-7,
Ryan Braun,braunry01,6-1,220.0
Ángel Bravo,bravoan01,5-8,150.0
Huascar Brazobán,brazohu01,6-3,155.0
Yhency Brazobán,brazoyh01,6-1,250.0
Leslie Brea,breale01,5-10,170.0
Austin Brice,briceau01,6-4,238.0
José Briceño,bricejo01,6-1,225.0
Bernardo Brito,britobe01,6-1,190.0
Eude Brito,britoeu01,6-0,170.0
Jhony Brito,britojh01,6-2,210.0
Jorge Brito,britojo01,6-1,190.0
Juan Brito,britoju01,5-11,205.0
Sócrates Brito,britoso01,6-2,205.0
Tilson Brito,britoti01,6-0,170.0
Jeff Bronkey,bronkje01,6-3,215.0
Jerry Browne,brownje01,5-10,140.0
Joe Brown,brownjo01,5-10,162.0
Tom Brown,brownto01,5-10,168.0
Vidal Bruján,brujavi01,5-10,180.0
Fritz Buelow,buelofr01,5-10,170.0
Francisley Bueno,buenofr01,5-11,205.0
Sim Bullas,bullasi01,5-7,150.0
Tom Burgess,burgeto01,6-0,180.0
Ambiorix Burgos,burgoam01,6-3,235.0
Enrique Burgos,burgoen01,6-4,195.0
Enrique Burgos,burgoen02,6-3,255.0
Hiram Burgos,burgohi01,5-11,210.0
Jack Burns,burnsja01,5-10,160.0
Rich Butler,butleri01,6-1,180.0
Rob Butler,butlero01,5-11,185.0
José Buttó,buttojo01,6-1,202.0
Ralph Buxton,buxtora01,5-11,163.0
José Caballero,cabaljo01,5-9,185.0
César Cabral,cabrace01,6-3,250.0
Alfredo Cabrera,cabreal01,5-10,
Álex Cabrera,cabreal02,6-2,217.0
Alberto Cabrera,cabreal03,6-4,210.0
Asdrúbal Cabrera,cabreas01,6-0,235.0
Daniel Cabrera,cabreda01,6-7,225.0
Edwar Cabrera,cabreed01,6-0,195.0
Edward Cabrera,cabreed02,6-5,217.0
Everth Cabrera,cabreev01,5-10,190.0
Fernando Cabrera,cabrefe01,6-4,225.0
Francisco Cabrera,cabrefr01,6-4,195.0
Génesis Cabrera,cabrege01,6-2,180.0
José Cabrera,cabrejo01,6-0,205.0
Jolbert Cabrera,cabrejo02,6-2,205.0
Lorenzo Cabrera,cabrelo01,5-11,196.0
Luis Cabrera,cabrelu01,5-10,175.0
Mauricio Cabrera,cabrema01,6-3,240.0
Melky Cabrera,cabreme01,5-10,210.0
Miguel Cabrera,cabremi01,6-4,267.0
Orlando Cabrera,cabreor01,5-10,195.0
Oswaldo Cabrera,cabreos01,5-11,200.0
Ramón Cabrera,cabrera01,5-8,195.0
Rafael Cabrera,cabrera02,5-7,154.0
Edgar Cáceres,cacered01,6-1,170.0
Kelvin Cáceres,cacerke01,6-1,205.0
Cameron Cairncross,cairnca01,6-0,195.0
Miguel Cairo,cairomi01,6-1,225.0
Benito Calderón,caldebe01,,
Evelio Calderín,caldeev01,,
Iván Calderón,caldeiv01,6-1,220.0
Kiko Calero,calerki01,6-1,180.0
Orlando Calixte,calixor01,6-0,183.0
Alberto Callaspo,callaal01,5-8,210.0
Paul Calvert,calvepa01,6-0,175.0
Jack Calvo,calvoja01,5-10,156.0
Napoleón Calzado,calzana01,6-3,201.0
Jair Camargo,camarja01,5-10,230.0
Johan Camargo,camarjo01,5-11,195.0
Jack Cameron,camerja01,5-10,170.0
Arquimedes Caminero,caminar01,6-4,245.0
Junior Caminero,caminju01,6-1,157.0
Al Campanis,campaal01,6-0,185.0
Bert Campaneris,campabe01,5-10,160.0
Hugh Campbell,campbhu01,,
Isaiah Campbell,campbis01,6-4,230.0
Michael Campbell,campbma01,,
Jorge Campillo,campijo01,6-0,230.0
Frank Campos,campofr01,5-11,180.0
Leonel Campos,campole01,6-2,215.0
Roberto Campos,camporo01,5-6,
Vicente Campos,campovi01,6-3,230.0
Sil Campusano,campusi01,6-0,160.0
Alexander Canario,canaral01,5-11,165.0
Willie Cañate,canatwi01,6-0,170.0
Robinson Cancel,cancero01,5-11,225.0
Avelino Cañizares,canizav01,5-7,145.0
Bárbaro Cañizares,canizba01,6-3,240.0
José Canó,canojo01,6-3,175.0
Robinson Canó,canoro01,6-0,228.0
Yennier Cano,canoye01,6-4,245.0
José Canseco,cansejo01,6-4,240.0
Ozzie Canseco,canseoz01,6-2,220.0
Denio Canton,cantode01,5-11,145.0
José Capellán,capeljo01,6-4,245.0
Esterio Caraballo,carabes01,6-0,190.0
Ramón Caraballo,carabra01,5-7,150.0
Victor Caratini,caratvi01,5-11,225.0
Francisco Cárdenas,cardefr01,,
José Cardenal,cardejo02,5-10,150.0
Leo Cárdenas,cardele01,5-11,160.0
Javier Cardona,cardoja01,6-1,185.0
Rod Carew,carewro01,6-0,170.0
Esmailin Caridad,carides01,5-10,195.0
Walter Carlisle,carliwa01,5-9,154.0
Roberto Hernández,carmofa01,6-4,270.0
Rafael Carmona,carmora01,6-2,185.0
Álex Carrasquel,carraal01,6-1,182.0
Carlos Carrasco,carraca01,6-4,224.0
Chico Carrasquel,carrach01,6-0,170.0
Giovanni Carrara,carragi01,6-2,225.0
Héctor Carrasco,carrahe01,6-2,235.0
Amalio Carreño,carream01,6-0,170.0
Clemente Carreras,carrecl01,5-10,190.0
Ezequiel Carrera,carreez01,5-11,185.0
Joel Carreño,carrejo01,6-2,255.0
Matías Carrillo,carrima01,5-11,185.0
Rico Carty,cartyri01,6-3,200.0
Marcos Carvajal,carvama01,6-4,175.0
Paul Casanova,casanpa01,6-4,180.0
Raúl Casanova,casanra01,6-0,200.0
Bob Casey,caseybo01,5-11,190.0
Alexi Casilla,casilal01,5-9,190.0
Carlos Casimiro,casimca01,5-11,179.0
Humberto Castellanos,castehu01,5-11,222.0
Pedro Castellano,castepe01,5-7,165.0
Alberto Castillo,castial01,6-0,184.0
Alberto Castillo,castial02,6-2,255.0
Braulio Castillo,castibr01,6-0,160.0
Carmelo Castillo,castica01,6-1,185.0
Diego Castillo,castidi01,6-3,268.0
Diego Castillo,castidi02,5-11,185.0
Erick Castillo,castier01,5-11,178.0
Fabio Castillo,castifa01,6-1,235.0
Iván Castillo,castiiv01,5-9,179.0
José Castillo,castijo02,6-1,210.0
José Castillo,castijo03,6-6,252.0
Juan Castillo,castiju01,5-10,155.0
Juan Castillo,castiju02,6-5,205.0
Lendy Castillo,castile01,6-1,180.0
Luis Castillo,castilu01,5-11,145.0
Luis Castillo,castilu02,6-2,200.0
Luis Castillo,castilu03,6-3,212.0
Manny Castillo,castima01,5-9,160.0
Max Castillo,castima03,6-2,280.0
Rusney Castillo,castiru02,5-9,207.0
Tony Castillo,castito02,5-10,177.0
Vinny Castilla,castivi02,6-1,175.0
Welington Castillo,castiwe01,5-10,215.0
Wilkin Castillo,castiwi01,6-0,215.0
Ángel Castro,castran01,5-11,240.0
Anthony Castro,castran02,6-2,191.0
Bernie Castro,castrbe01,5-10,170.0
Bill Castro,castrbi01,5-11,170.0
Daniel Castro,castrda01,5-11,201.0
Fabio Castro,castrfa01,5-7,185.0
Harold Castro,castrha01,5-10,195.0
Juan Castro,castrju01,5-11,190.0
Kervin Castro,castrke01,6-0,185.0
Lou Castro,castrlu01,5-7,175.0
Luis Castro,castrlu02,,
Miguel Castro,castrmi01,6-7,201.0
Ramón Castro,castrra01,6-3,240.0
Ramón Castro,castrra02,6-0,195.0
Rodolfo Castro,castrro01,6-0,205.0
Simon Castro,castrsi01,6-5,230.0
Starlin Castro,castrst01,6-2,218.0
Willi Castro,castrwi01,6-1,206.0
José Cecena,cecenjo01,5-11,180.0
José Ceda,cedajo01,6-5,280.0
Andújar Cedeño,cedenan01,6-1,170.0
César Cedeño,cedence01,6-2,175.0
Domingo Cedeño,cedendo01,6-1,170.0
Roger Cedeño,cedenro01,6-1,165.0
Ronny Cedeño,cedenro02,6-0,195.0
Xavier Cedeño,cedenxa01,5-11,210.0
Armando Celada,celadar01,5-7,
Gilberto Celestino,celesgi01,6-0,170.0
Juan Centeno,centeju01,5-9,195.0
Orlando Cepeda,cepedor01,6-2,210.0
Juan Cerros,cerroju01,6-1,200.0
Francisco Cervelli,cervefr01,6-0,220.0
Yoenis Céspedes,cespeyo01,5-11,225.0
Luis Cessa,cessalu01,6-0,222.0
Alejandro Chacín,chacial01,6-0,204.0
Gustavo Chacín,chacigu01,5-11,205.0
Jhoulys Chacín,chacijh01,6-3,215.0
Elio Chacón,chacoel01,5-9,160.0
Pelayo Chacón,chacope01,5-8,140.0
George Chalmers,chalmge01,6-1,189.0
Yu Chang,changyu01,6-1,180.0
Aroldis Chapman,chapmar01,6-4,235.0
Leonardo Chapman,chapmle01,5-8,180.0
Ossie Chavarria,chavaos01,5-11,155.0
Ángel Chávez,chavean02,6-0,185.0
Endy Chávez,chaveen01,5-11,170.0
Néstor Chávez,chavene01,6-0,170.0
Raúl Chávez,chavera01,5-11,245.0
Robinson Checo,checoro01,6-1,165.0
Bruce Chen,chenbr01,6-2,215.0
Chin-Feng Chen,chench01,6-1,189.0
Wei-Yin Chen,chenwe02,6-0,200.0
Tony Chevez,cheveto01,5-11,177.0
Robinson Chirinos,chiriro01,6-1,220.0
Yonny Chirinos,chiriyo01,6-2,225.0
Jazz Chisholm Jr.,chishja01,5-11,184.0
Steve Chitren,chitrst01,6-0,180.0
Hee-Seop Choi,choihe01,6-5,235.0
Jiman Choi,choiji01,6-0,260.0
Jin Ho Cho,choji01,6-0,175.0
Shin-Soo Choo,choosh01,5-11,205.0
Bobby Chouinard,chouibo01,6-1,195.0
Jackson Chourio,chourja01,6-0,198.0
Joe Christopher,chrisjo01,5-10,175.0
Álex Cintrón,cintral01,6-2,210.0
Pedro Ciriaco,ciriape01,6-0,180.0
José Cisnero,cisnejo01,6-3,258.0
Bobby Clack,clackbo01,5-9,153.0
Stubby Clapp,clappst01,5-8,175.0
Cleveland Clark,clarkcl01,5-11,165.0
Horace Clarke,clarkho01,5-9,175.0
Jay Clarke,clarkni01,5-8,165.0
Webbo Clarke,clarkwe01,6-0,165.0
Emmanuel Clase,claseem01,6-2,206.0
Jonatan Clase,clasejo01,5-9,150.0
Álex Claudio,claudal01,6-2,190.0
Jimmy Claxton,claxtji01,5-10,160.0
Joe Cleary,clearjo01,5-9,150.0
Edgard Clemente,clemeed02,5-11,188.0
Roberto Clemente,clemero01,5-11,175.0
Maikel Cleto,cletoma01,6-3,250.0
Reggie Cleveland,clevere01,6-1,195.0
Jaime Cocanower,cocanja01,6-4,200.0
Jim Cockman,cockmji01,5-6,145.0
Pasqual Coco,cocopa01,6-1,185.0
Ivanon Coffie,coffiiv01,6-1,190.0
Ed Cogswell,cogswed01,5-8,150.0
Pancho Coimbre,coimbpa01,5-8,170.0
Carlos Colás,colasca01,5-10,170.0
José Colás,colasjo01,6-0,
Oscar Colás,colasos01,5-11,230.0
Victor Cole,colevi01,5-10,160.0
Alvin Colina,colinal01,6-3,210.0
Edwar Colina,colined01,5-11,240.0
Willie Collazo,collawi01,5-8,180.0
Bill Collins,collibi01,,150.0
Chub Collins,collich01,5-11,165.0
Frank Colman,colmafr01,5-11,186.0
Alex Colomé,colomal01,6-2,240.0
Jesús Colomé,colomje01,6-2,240.0
Bartolo Colon,colonba01,5-11,285.0
Christian Colón,colonch01,5-10,215.0
Cris Colón,coloncr01,6-2,180.0
Joe Colón,colonjo01,6-0,180.0
Román Colón,colonro01,6-5,245.0
Álex Colthirst,colthal01,,
Jorge Comellas,comeljo01,6-0,190.0
Dave Concepción,conceda01,6-2,155.0
Gerardo Concepción,concege01,6-2,200.0
Monchile Concepción,concemo01,,
Onix Concepción,conceon01,5-6,160.0
Ramón Conde,condera01,5-8,172.0
Bunk Congalton,congabu01,5-11,190.0
P.J. Conlon,conlopj01,5-11,192.0
José Constanza,constjo01,5-9,185.0
Sandy Consuegra,consusa01,5-11,165.0
Carlos Contreras,contrca01,5-11,215.0
José Contreras,contrjo01,6-4,255.0
Roansy Contreras,contrro01,6-1,205.0
Willson Contreras,contrwi01,6-1,240.0
William Contreras,contrwi02,5-11,212.0
Earl Cook,cookea01,6-0,195.0
Álex Cora,coraal01,6-0,200.0
Joey Cora,corajo01,5-7,150.0
Daniel Corcino,corcida01,5-11,215.0
Francisco Cordero,cordefr01,6-3,245.0
Franchy Cordero,cordefr02,6-3,225.0
Jimmy Cordero,cordeji01,6-4,245.0
Wil Cordero,cordewi01,6-2,185.0
Allen Córdoba,cordoal01,6-2,235.0
Francisco Córdova,cordofr01,5-10,190.0
Pete Córdova,cordope01,5-4,140.0
Rhéal Cormier,cormirh01,5-10,185.0
Manny Corpas,corpama01,6-3,170.0
Carlos Corporán,corpoca01,6-2,240.0
Carlos Correa,correca01,6-4,220.0
Ed Correa,correed01,6-2,192.0
Francisco Correa,correfr01,,
Barry Cort,cortba01,6-5,210.0
Aurelio Cortés,corteau01,5-6,
David Cortés,corteda01,5-11,195.0
Nestor Cortes,cortene01,5-11,210.0
Humberto Cota,cotahu01,5-11,225.0
Jharel Cotton,cottojh01,5-11,200.0
Danny Cox,coxda01,6-4,235.0
Callix Crabbe,crabbca01,5-7,185.0
Pete Craig,craigpe01,6-5,220.0
Jesse Crain,crainje01,6-1,215.0
Alejandro Crespo,crespal01,6-1,206.0
César Crespo,crespce01,5-11,170.0
Felipe Crespo,crespfe01,5-11,195.0
Rogelio Crespo,crespro01,5-10,170.0
Nabil Crismatt,crismna01,6-1,220.0
